回数,賞,ID,song_by
27,新人賞,1813,恋におちて-Fall in Love-_by_小林明子
27,新人賞,2187,「C」_by_中山美穂
27,新人賞,382,雨のハイスクール_by_芳本美代子
27,新人賞,No ID!,さよならと言われて_by_松本典子
27,最優秀歌唱賞,3645,波止場しぐれ_by_石川さゆり
27,最優秀新人賞,2187,「C」_by_中山美穂
27,金賞,1032,男船_by_神野美伽
27,金賞,2862,そして…めぐり逢い_by_五木ひろし
27,金賞,2978,タッチ_by_岩崎良美
27,金賞,3137,デビュー ～Fly Me To Love～_by_河合奈保子
27,金賞,3629,PASSION_by_早見優
27,金賞,4114,望郷じょんから_by_細川たかし
27,金賞,4309,ミ・アモーレ_by_中森明菜
27,金賞,1343,悲しみにさよなら_by_安全地帯
27,金賞,2528,ジュリアに傷心_by_チェッカーズ
27,金賞,4913,Romanticが止まらない_by_C-C-B
28,大賞,3118,DESIRE -情熱-_by_中森明菜
28,新人賞,21192,CHA-CHA-CHA_by_石井明美
28,新人賞,1376,仮面舞踏会_by_少年隊
28,新人賞,38441,わたし・ドリーミング_by_西村知美
28,新人賞,No ID!,夢飛行_by_真璃子
28,新人賞,86890,乙女日和_by_水谷麻里
28,最優秀歌唱賞,1500,北の漁場_by_北島三郎
28,最優秀新人賞,1376,仮面舞踏会_by_少年隊
28,金賞,259,熱き心に_by_小林旭
28,金賞,352,天城越え_by_石川さゆり
28,金賞,14909,さだめ川_by_細川たかし
28,金賞,3023,Dance Beatは夜明けまで_by_荻野目洋子
28,金賞,3087,ツイてるねノッてるね_by_中山美穂
28,金賞,3118,DESIRE -情熱-_by_中森明菜
28,金賞,3251,時の流れに身をまかせ_by_テレサ・テン
28,金賞,3426,浪花盃_by_五木ひろし
28,金賞,4076,Baby Rose_by_近藤真彦
28,金賞,4235,My Revolution_by_渡辺美里
28,ベストアーチスト賞,3118,DESIRE -情熱-_by_中森明菜
29,大賞,1149,愚か者_by_近藤真彦
29,新人賞,3559,ノ・レ・な・い Teen-age_by_酒井法子
29,新人賞,341,あばれ太鼓_by_坂本冬美
29,新人賞,67117,キミはどんとくらい_by_立花理佐
29,新人賞,274854,人見知り_by_畠田理恵
29,新人賞,80,I Don't Know!_by_BaBe
29,最優秀歌唱賞,1170,女の駅_by_大月みやこ
29,最優秀新人賞,67117,キミはどんとくらい_by_立花理佐
29,金賞,713,命くれない_by_瀬川瑛子
29,金賞,1149,愚か者_by_近藤真彦
29,金賞,1543,君だけに_by_少年隊
29,金賞,3079,追憶_by_五木ひろし
29,金賞,3488,難破船_by_中森明菜
29,金賞,3513,濡れた髪のLonely_by_池田聡
29,金賞,4296,Marionette ～マリオネット～_by_BOφWY
29,金賞,4421,無錫旅情_by_尾形大作
29,金賞,4464,夫婦善哉_by_石川さゆり
29,金賞,4904,六本木純情派_by_荻野目洋子
29,ベストアーチスト賞,1543,君だけに_by_少年隊
30,大賞,3703,パラダイス銀河_by_光GENJI
30,新人賞,No ID!,ABコンプレックス_by_相川恵理
30,新人賞,3126,DAYBREAK_by_男闘呼組
30,新人賞,368,雨酒場_by_香西かおり
30,新人賞,No ID!,89番目の星座_by_伸村知夏
30,新人賞,2470,JUST ONE MORE KISS_by_BUCK-TICK
30,新人賞,916,王将一代 小春しぐれ_by_大和さくら
30,最優秀歌唱賞,2642,人生いろいろ_by_島倉千代子
30,最優秀新人賞,3126,DAYBREAK_by_男闘呼組
30,金賞,5,ああ、グッと_by_近藤真彦
30,金賞,748,祝い酒_by_坂本冬美
30,金賞,892,ANGEL_by_氷室京介
30,金賞,1432,乾杯_by_長渕剛
30,金賞,2642,人生いろいろ_by_島倉千代子
30,金賞,2739,ストレンジャーtonight_by_荻野目洋子
30,金賞,2985,TATTOO_by_中森明菜
30,金賞,3703,パラダイス銀河_by_光GENJI
30,金賞,6390,BEYOND THE TIME(メビウスの宇宙を越えて)_by_TM NETWORK
30,金賞,4131,北緯五十度_by_細川たかし
30,金賞,4339,乱れ花_by_大月みやこ
30,金賞,4366,港の五番町_by_五木ひろし
30,金賞,4417,MUGO・ん…色っぽい_by_工藤静香
30,金賞,4606,You're My Only Shinin' Star_by_中山美穂
30,金賞,4604,You Were Mine_by_久保田利伸
31,大賞,2090,淋しい熱帯魚_by_Wink
31,新人賞,1885,恋やどり_by_尾鷲義人
31,新人賞,No ID!,夢だけみてる_by_川越美和
31,新人賞,994,男同志_by_香田晋
31,新人賞,5844,真剣_by_田村英里子
31,新人賞,4022,ふりむけばヨコハマ_by_マルシア
31,最優秀歌唱賞,1291,風の盆恋歌_by_石川さゆり
31,最優秀新人賞,4022,ふりむけばヨコハマ_by_マルシア
31,金賞,1019,男の情話_by_坂本冬美
31,金賞,1291,風の盆恋歌_by_石川さゆり
31,金賞,1420,川の流れのように_by_美空ひばり
31,金賞,1484,北国へ_by_細川たかし
31,金賞,2090,淋しい熱帯魚_by_Wink
31,金賞,2918,TIME ZONE_by_男闘呼組
31,金賞,7261,太陽がいっぱい_by_光GENJI
31,金賞,42823,ユア・マイ・ライフ(YOU'RE MY LIFE)_by_荻野目洋子
31,金賞,4743,酔いどれて_by_桂銀淑
31,金賞,4839,リゾ・ラバ -resort lovers-_by_爆風スランプ
31,特別栄誉歌手賞,1420,川の流れのように_by_美空ひばり
32,最優秀歌唱賞,4175,蛍_by_松原のぶえ
32,レコード大賞,1786,恋唄綴り_by_堀内孝雄
32,レコード大賞,1046,おどるポンポコリン_by_B.B.クイーンズ
32,最優秀歌謡曲新人賞,29,愛されてセレナーデ_by_ヤン・スギョン
32,最優秀演歌新人賞,651,一円玉の旅がらす_by_晴山さおり
32,歌謡曲ゴールド・ディスク賞,1786,恋唄綴り_by_堀内孝雄
32,最優秀ポップス・ボーカル賞,1903,告白_by_竹内まりや
32,最優秀ロック・ボーカル賞,4273,真夏の果実_by_サザンオールスターズ
32,最優秀ポップス新人賞,1072,お祭り忍者_by_忍者
32,最優秀ロック新人賞,2127,さよなら人類_by_たま
32,ポップス・ゴールド・ディスク賞,1046,おどるポンポコリン_by_B.B.クイーンズ
32,ロック・ゴールド・ディスク賞,4273,真夏の果実_by_サザンオールスターズ
33,新人賞,43496,やせがまん_by_唐木淳
33,新人賞,1088,想い出の九十九里浜_by_Mi-Ke
33,新人賞,No ID!,赤い花束_by_中嶋美智代
33,新人賞,3326,どんなときも。_by_槇原敬之
33,新人賞,1088,想い出の九十九里浜_by_Mi-Ke
33,新人賞,3158,伝説の少女_by_観月ありさ
33,最優秀歌唱賞,3851,火の国の女_by_坂本冬美
33,最優秀新人賞,43496,やせがまん_by_唐木淳
33,最優秀新人賞,1088,想い出の九十九里浜_by_Mi-Ke
33,レコード大賞,1494,北の大地_by_北島三郎
33,レコード大賞,123,愛は勝つ_by_KAN
33,ゴールド・ディスク賞,3620,流恋草_by_香西かおり
33,ゴールド・ディスク賞,1494,北の大地_by_北島三郎
33,ゴールド・ディスク賞,1347,悲しみの訪問者_by_桂銀淑
33,ゴールド・ディスク賞,123,愛は勝つ_by_KAN
33,ゴールド・ディスク賞,289,あなたに会えてよかった_by_小泉今日子
33,ゴールド・ディスク賞,2774,SAY YES_by_CHAGE and ASKA
33,ゴールド・ディスク賞,544,はじまりはいつも雨_by_ASKA
33,ゴールド・ディスク賞,2203,ラブ・ストーリーは突然に_by_小田和正
33,最優秀ボーカル賞,544,はじまりはいつも雨_by_ASKA
34,新人賞,1208,女…ひとり旅_by_田川寿美
34,新人賞,931,大阪すずめ_by_永井みゆき
34,新人賞,2943,DA・KA・RA_by_大黒摩季
34,新人賞,4605,You're the Only…_by_小野正利
34,新人賞,No ID!,今度私どこか連れていって下さいよ_by_加藤紀子
34,新人賞,141364,もう一度逢いたくて_by_高橋洋子
34,最優秀歌唱賞,576,夜桜_by_山川豊
34,最優秀新人賞,931,大阪すずめ_by_永井みゆき
34,最優秀新人賞,4605,You're the Only…_by_小野正利
34,レコード大賞,2603,白い海峡_by_大月みやこ
34,レコード大賞,1531,君がいるだけで_by_米米CLUB
34,ゴールド・ディスク賞,2603,白い海峡_by_大月みやこ
34,ゴールド・ディスク賞,3239,都会の天使たち_by_堀内孝雄＆桂銀淑
34,ゴールド・ディスク賞,3673,花挽歌_by_香西かおり
34,ゴールド・ディスク賞,1531,君がいるだけで_by_米米CLUB
34,ゴールド・ディスク賞,1753,決戦は金曜日_by_DREAMS COME TRUE
34,ゴールド・ディスク賞,3422,何も言えなくて…夏_by_JAYWALK
34,ゴールド・ディスク賞,3455,涙のキッス_by_サザンオールスターズ
34,ゴールド・ディスク賞,3617,はがゆい唇_by_高橋真梨子
34,最優秀ボーカル賞,1512,きっと、また逢える…_by_松田聖子
35,新人賞,4157,ポケベルが鳴らなくて_by_国武万里
35,新人賞,3631,Passing Love_by_周冰倩
35,新人賞,1756,Get Along Together -愛を贈りたいから-_by_山根康広
35,最優秀歌唱賞,4952,別れ曲でも唄って_by_前川清
35,最優秀新人賞,1756,Get Along Together -愛を贈りたいから-_by_山根康広
35,レコード大賞,4419,無言坂_by_香西かおり
35,ベストソング賞,2452,島唄_by_THE BOOM
35,ミュージックビデオ賞,439,EZ DO DANCE_by_TRF
35,ミュージックビデオ賞,No ID!,THE 8TH OF ACE_by_米米CLUB谷村新司
36,新人賞,1232,海峡恋歌_by_西尾夕紀
36,新人賞,5155,憧夢 ～風に向かって～_by_Be-B
36,新人賞,6657,土佐のおんな節_by_水田竜子
36,最優秀歌唱賞,39643,逢えるじゃないかまたあした_by_石原裕次郎・川中美幸
